"Alfalfa hay"|"Tons"|2.5|2.5|2.5||||||"26819863"|"51893250"
"Corn"|"Bu"|55|55|55||||||"26819863"|"51893251"
"Corn silage"|"Tons"|11|11|11||||||"26819863"|"51893252"
"Grass-legume hay"|"Tons"|2|2|2||||||"26819863"|"51893253"
"Pasture"|"AUM"|5|5|5||||||"26819863"|"51893254"
"Soybeans"|"Bu"|20|20|20||||||"26819863"|"51893255"
"Wheat"|"Bu"|20|20|20||||||"26819863"|"51893256"
"Corn"|"Bu"||80|||||||"26819864"|"51893257"
"Grass-legume hay"|"Tons"||2.5|||||||"26819864"|"51893258"
"Pasture"|"AUM"||4.9|||||||"26819864"|"51893259"
"Corn silage"|"Tons"||17|||||||"26819864"|"51893260"
"Oats"|"Bu"||60|||||||"26819864"|"51893261"
"Wheat"|"Bu"||40|||||||"26819864"|"51893262"
"Soybeans"|"Bu"||30|||||||"26819864"|"51893263"
"Alfalfa hay"|"Tons"||3.5|||||||"26819865"|"51893264"
"Barley"|"Bu"||60|||||||"26819865"|"51893265"
"Corn"|"Bu"||125|||||||"26819865"|"51893266"
"Corn silage"|"Tons"||23|||||||"26819865"|"51893267"
"Grass-legume hay"|"Tons"||3|||||||"26819865"|"51893268"
"Oats"|"Bu"||70|||||||"26819865"|"51893269"
"Wheat"|"Bu"||55|||||||"26819865"|"51893270"
"Pasture"|"AUM"||6.5|||||||"26819865"|"51893271"
"Soybeans"|"Bu"||50|||||||"26819865"|"51893272"
"Oats"|"Bu"|60|60|60||||||"26819866"|"51893273"
"Pasture"|"AUM"|6|6|6||||||"26819866"|"51893274"
"Soybeans"|"Bu"|30|30|30||||||"26819866"|"51893275"
"Wheat"|"Bu"|40|40|40||||||"26819866"|"51893276"
"Corn"|"Bu"|95|96.9|110||||||"26819866"|"51893277"
"Corn silage"|"Tons"|19|19|19||||||"26819866"|"51893278"
"Grass-legume hay"|"Tons"|3|3|3||||||"26819866"|"51893279"
"Corn"|"Bu"||70|||||||"26819459"|"51890559"
"Grass-legume hay"|"Tons"||2.5|||||||"26819459"|"51890560"
"Pasture"|"AUM"||4.9|||||||"26819459"|"51890561"
"Alfalfa hay"|"Tons"||3.5|||||||"26819464"|"51890562"
"Barley"|"Bu"||60|||||||"26819464"|"51890563"
"Corn"|"Bu"||120|||||||"26819464"|"51890564"
"Corn silage"|"Tons"||25|||||||"26819464"|"51890565"
"Grass-legume hay"|"Tons"||3|||||||"26819464"|"51890566"
"Pasture"|"AUM"||6.5|||||||"26819464"|"51890567"
"Soybeans"|"Bu"||50|||||||"26819464"|"51890568"
"Tobacco"|"Lbs"||2400|||||||"26819464"|"51890569"
"Wheat"|"Bu"||55|||||||"26819464"|"51890570"
"Oats"|"Bu"||65|||||||"26819464"|"51890571"
"Alfalfa hay"|"Tons"||5.5|||||||"26819465"|"51890572"
"Barley"|"Bu"||85|||||||"26819465"|"51890573"
"Corn"|"Bu"||170|||||||"26819465"|"51890574"
"Corn silage"|"Tons"||30|||||||"26819465"|"51890575"
"Grass-legume hay"|"Tons"||3.5|||||||"26819465"|"51890576"
"Pasture"|"AUM"||10.5|||||||"26819465"|"51890577"
"Soybeans"|"Bu"||70|||||||"26819465"|"51890578"
"Tobacco"|"Lbs"||2500|||||||"26819465"|"51890579"
"Wheat"|"Bu"||75|||||||"26819465"|"51890580"
"Oats"|"Bu"||80|||||||"26819465"|"51890581"
"Alfalfa hay"|"Tons"||5.5|||||||"26819466"|"51890582"
"Barley"|"Bu"||85|||||||"26819466"|"51890583"
"Corn"|"Bu"||170|||||||"26819466"|"51890584"
"Corn silage"|"Tons"||30|||||||"26819466"|"51890585"
"Grass-legume hay"|"Tons"||3.5|||||||"26819466"|"51890586"
"Pasture"|"AUM"||5.5|||||||"26819466"|"51890587"
"Soybeans"|"Bu"||70|||||||"26819466"|"51890588"
"Tobacco"|"Lbs"||2500|||||||"26819466"|"51890589"
"Wheat"|"Bu"||75|||||||"26819466"|"51890590"
"Oats"|"Bu"||70|||||||"26819466"|"51890591"
"Grass-legume hay"|"Tons"||2|||||||"26819467"|"51890592"
"Pasture"|"AUM"||4|||||||"26819467"|"51890593"
"Alfalfa hay"|"Tons"||3.5|||||||"26819468"|"51890594"
"Barley"|"Bu"||65|||||||"26819468"|"51890595"
"Corn"|"Bu"||125|||||||"26819468"|"51890596"
"Corn silage"|"Tons"||25|||||||"26819468"|"51890597"
"Grass-legume hay"|"Tons"||3|||||||"26819468"|"51890598"
"Pasture"|"AUM"||6.5|||||||"26819468"|"51890599"
"Soybeans"|"Bu"||50|||||||"26819468"|"51890600"
"Tobacco"|"Lbs"||1675|||||||"26819468"|"51890601"
"Wheat"|"Bu"||55|||||||"26819468"|"51890602"
"Oats"|"Bu"||65|||||||"26819468"|"51890603"
"Alfalfa hay"|"Tons"||5|||||||"26819469"|"51890604"
"Barley"|"Bu"||85|||||||"26819469"|"51890605"
"Corn"|"Bu"||165|||||||"26819469"|"51890606"
"Corn silage"|"Tons"||30|||||||"26819469"|"51890607"
"Grass-legume hay"|"Tons"||3.5|||||||"26819469"|"51890608"
"Pasture"|"AUM"||9.5|||||||"26819469"|"51890609"
"Soybeans"|"Bu"||65|||||||"26819469"|"51890610"
"Tobacco"|"Lbs"||2400|||||||"26819469"|"51890611"
"Wheat"|"Bu"||75|||||||"26819469"|"51890612"
"Alfalfa hay"|"Tons"||5.5|||||||"26819470"|"51890613"
"Barley"|"Bu"||85|||||||"26819470"|"51890614"
"Corn"|"Bu"||170|||||||"26819470"|"51890615"
"Corn silage"|"Tons"||30|||||||"26819470"|"51890616"
"Grass-legume hay"|"Tons"||3.5|||||||"26819470"|"51890617"
"Pasture"|"AUM"||5.5|||||||"26819470"|"51890618"
"Soybeans"|"Bu"||70|||||||"26819470"|"51890619"
"Tobacco"|"Lbs"||2500|||||||"26819470"|"51890620"
"Wheat"|"Bu"||75|||||||"26819470"|"51890621"
"Alfalfa hay"|"Tons"||3|||||||"26819472"|"51890622"
"Barley"|"Bu"||50|||||||"26819472"|"51890623"
"Corn"|"Bu"||95|||||||"26819472"|"51890624"
"Corn silage"|"Tons"||20|||||||"26819472"|"51890625"
"Grass-legume hay"|"Tons"||2.5|||||||"26819472"|"51890626"
"Pasture"|"AUM"||5|||||||"26819472"|"51890627"
"Soybeans"|"Bu"||40|||||||"26819472"|"51890628"
"Wheat"|"Bu"||45|||||||"26819472"|"51890629"
"Alfalfa hay"|"Tons"||5|||||||"26819473"|"51890630"
"Barley"|"Bu"||85|||||||"26819473"|"51890631"
"Corn"|"Bu"||165|||||||"26819473"|"51890632"
"Corn silage"|"Tons"||30|||||||"26819473"|"51890633"
"Grass-legume hay"|"Tons"||3.5|||||||"26819473"|"51890634"
"Pasture"|"AUM"||9.5|||||||"26819473"|"51890635"
"Soybeans"|"Bu"||65|||||||"26819473"|"51890636"
"Tobacco"|"Lbs"||2500|||||||"26819473"|"51890637"
"Wheat"|"Bu"||75|||||||"26819473"|"51890638"
"Alfalfa hay"|"Tons"||4|||||||"26819474"|"51890639"
"Corn"|"Bu"||100|||||||"26819474"|"51890640"
"Corn silage"|"Tons"||20|||||||"26819474"|"51890641"
"Grass-legume hay"|"Tons"||3|||||||"26819474"|"51890642"
"Oats"|"Bu"||70|||||||"26819474"|"51890643"
"Pasture"|"AUM"||7.5|||||||"26819474"|"51890644"
"Wheat"|"Bu"||40|||||||"26819474"|"51890645"
"Alfalfa hay"|"Tons"||5|||||||"26819475"|"51890646"
"Corn"|"Bu"||130|||||||"26819475"|"51890647"
"Corn silage"|"Tons"||26|||||||"26819475"|"51890648"
"Grass-legume hay"|"Tons"||3.5|||||||"26819475"|"51890649"
"Oats"|"Bu"||75|||||||"26819475"|"51890650"
"Pasture"|"AUM"||9.5|||||||"26819475"|"51890651"
"Wheat"|"Bu"||50|||||||"26819475"|"51890652"
"Alfalfa hay"|"Tons"||3.5|||||||"26819476"|"51890653"
"Corn"|"Bu"||80|||||||"26819476"|"51890654"
"Corn silage"|"Tons"||16|||||||"26819476"|"51890655"
"Grass-legume hay"|"Tons"||3|||||||"26819476"|"51890656"
"Oats"|"Bu"||65|||||||"26819476"|"51890657"
"Pasture"|"AUM"||6.5|||||||"26819476"|"51890658"
"Wheat"|"Bu"||35|||||||"26819476"|"51890659"
"Alfalfa hay"|"Tons"||3.5|||||||"26819478"|"51890660"
"Corn"|"Bu"||100|||||||"26819478"|"51890661"
"Corn silage"|"Tons"||20|||||||"26819478"|"51890662"
"Grass-legume hay"|"Tons"||3|||||||"26819478"|"51890663"
"Oats"|"Bu"||70|||||||"26819478"|"51890664"
"Pasture"|"AUM"||6.5|||||||"26819478"|"51890665"
"Wheat"|"Bu"||40|||||||"26819478"|"51890666"
"Alfalfa hay"|"Tons"||4.5|||||||"26819479"|"51890667"
"Corn"|"Bu"||120|||||||"26819479"|"51890668"
"Corn silage"|"Tons"||24|||||||"26819479"|"51890669"
"Grass-legume hay"|"Tons"||3.5|||||||"26819479"|"51890670"
"Oats"|"Bu"||70|||||||"26819479"|"51890671"
"Pasture"|"AUM"||8.5|||||||"26819479"|"51890672"
"Wheat"|"Bu"||45|||||||"26819479"|"51890673"
"Alfalfa hay"|"Tons"||3.5|||||||"26819480"|"51890674"
"Corn"|"Bu"||90|||||||"26819480"|"51890675"
"Corn silage"|"Tons"||18|||||||"26819480"|"51890676"
"Grass-legume hay"|"Tons"||3|||||||"26819480"|"51890677"
"Oats"|"Bu"||65|||||||"26819480"|"51890678"
"Pasture"|"AUM"||6.5|||||||"26819480"|"51890679"
"Wheat"|"Bu"||35|||||||"26819480"|"51890680"
"Alfalfa hay"|"Tons"||3.5|||||||"26819482"|"51890681"
"Corn"|"Bu"||90|||||||"26819482"|"51890682"
"Corn silage"|"Tons"||18|||||||"26819482"|"51890683"
"Grass-legume hay"|"Tons"||3|||||||"26819482"|"51890684"
"Oats"|"Bu"||65|||||||"26819482"|"51890685"
"Pasture"|"AUM"||6.5|||||||"26819482"|"51890686"
"Wheat"|"Bu"||40|||||||"26819482"|"51890687"
"Alfalfa hay"|"Tons"||3|||||||"26819483"|"51890688"
"Corn"|"Bu"||75|||||||"26819483"|"51890689"
"Corn silage"|"Tons"||15|||||||"26819483"|"51890690"
"Grass-legume hay"|"Tons"||2.5|||||||"26819483"|"51890691"
"Oats"|"Bu"||60|||||||"26819483"|"51890692"
"Pasture"|"AUM"||6|||||||"26819483"|"51890693"
"Wheat"|"Bu"||35|||||||"26819483"|"51890694"
"Alfalfa hay"|"Tons"||4|||||||"26819484"|"51890695"
"Corn"|"Bu"||105|||||||"26819484"|"51890696"
"Corn silage"|"Tons"||21|||||||"26819484"|"51890697"
"Grass-legume hay"|"Tons"||3|||||||"26819484"|"51890698"
"Oats"|"Bu"||60|||||||"26819484"|"51890699"
"Pasture"|"AUM"||7.5|||||||"26819484"|"51890700"
"Wheat"|"Bu"||40|||||||"26819484"|"51890701"
"Kentucky bluegrass"|"AUM"||2|||||||"26819485"|"51890702"
"Alfalfa hay"|"Tons"||3|||||||"26819486"|"51890703"
"Corn"|"Bu"||70|||||||"26819486"|"51890704"
"Corn silage"|"Tons"||14|||||||"26819486"|"51890705"
"Grass-legume hay"|"Tons"||2.5|||||||"26819486"|"51890706"
"Oats"|"Bu"||50|||||||"26819486"|"51890707"
"Pasture"|"AUM"||5.5|||||||"26819486"|"51890708"
"Wheat"|"Bu"||30|||||||"26819486"|"51890709"
"Alfalfa hay"|"Tons"||3.5|||||||"26819487"|"51890710"
"Corn"|"Bu"||100|||||||"26819487"|"51890711"
"Corn silage"|"Tons"||20|||||||"26819487"|"51890712"
"Grass-legume hay"|"Tons"||3|||||||"26819487"|"51890713"
"Oats"|"Bu"||65|||||||"26819487"|"51890714"
"Pasture"|"AUM"||6.5|||||||"26819487"|"51890715"
"Wheat"|"Bu"||40|||||||"26819487"|"51890716"
"Alfalfa hay"|"Tons"||4.5|||||||"26819488"|"51890717"
"Barley"|"Bu"||75|||||||"26819488"|"51890718"
"Corn"|"Bu"||150|||||||"26819488"|"51890719"
"Corn silage"|"Tons"||30|||||||"26819488"|"51890720"
"Grass-legume hay"|"Tons"||3.5|||||||"26819488"|"51890721"
"Pasture"|"AUM"||8.5|||||||"26819488"|"51890722"
"Soybeans"|"Bu"||60|||||||"26819488"|"51890723"
"Tobacco"|"Lbs"||2300|||||||"26819488"|"51890724"
"Wheat"|"Bu"||70|||||||"26819488"|"51890725"
"Barley"|"Bu"||85|||||||"26819489"|"51890726"
"Alfalfa hay"|"Tons"||5|||||||"26819489"|"51890727"
"Corn"|"Bu"||165|||||||"26819489"|"51890728"
"Corn silage"|"Tons"||30|||||||"26819489"|"51890729"
"Grass-legume hay"|"Tons"||3.5|||||||"26819489"|"51890730"
"Pasture"|"AUM"||9.5|||||||"26819489"|"51890731"
"Soybeans"|"Bu"||65|||||||"26819489"|"51890732"
"Tobacco"|"Lbs"||2400|||||||"26819489"|"51890733"
"Wheat"|"Bu"||75|||||||"26819489"|"51890734"
"Alfalfa hay"|"Tons"||3|||||||"26819490"|"51890735"
"Barley"|"Bu"||50|||||||"26819490"|"51890736"
"Corn"|"Bu"||95|||||||"26819490"|"51890737"
"Corn silage"|"Tons"||20|||||||"26819490"|"51890738"
"Grass-legume hay"|"Tons"||2.5|||||||"26819490"|"51890739"
"Pasture"|"AUM"||5|||||||"26819490"|"51890740"
"Soybeans"|"Bu"||40|||||||"26819490"|"51890741"
"Wheat"|"Bu"||45|||||||"26819490"|"51890742"
"Alfalfa hay"|"Tons"||4.5|||||||"26819492"|"51890743"
"Barley"|"Bu"||85|||||||"26819492"|"51890744"
"Corn"|"Bu"||170|||||||"26819492"|"51890745"
"Corn silage"|"Tons"||30|||||||"26819492"|"51890746"
"Grass-legume hay"|"Tons"||3.5|||||||"26819492"|"51890747"
"Pasture"|"AUM"||10.5|||||||"26819492"|"51890748"
"Soybeans"|"Bu"||70|||||||"26819492"|"51890749"
"Tobacco"|"Lbs"||2400|||||||"26819492"|"51890750"
"Wheat"|"Bu"||75|||||||"26819492"|"51890751"
"Barley"|"Bu"||60|||||||"26819493"|"51890752"
"Corn"|"Bu"||145|||||||"26819493"|"51890753"
"Corn silage"|"Tons"||30|||||||"26819493"|"51890754"
"Grass-legume hay"|"Tons"||3.5|||||||"26819493"|"51890755"
"Pasture"|"AUM"||6.5|||||||"26819493"|"51890756"
"Soybeans"|"Bu"||60|||||||"26819493"|"51890757"
"Wheat"|"Bu"||65|||||||"26819493"|"51890758"
"Alfalfa hay"|"Tons"||4.5|||||||"26819494"|"51890759"
"Barley"|"Bu"||85|||||||"26819494"|"51890760"
"Corn"|"Bu"||165|||||||"26819494"|"51890761"
"Corn silage"|"Tons"||30|||||||"26819494"|"51890762"
"Grass-legume hay"|"Tons"||3.5|||||||"26819494"|"51890763"
"Pasture"|"AUM"||8.5|||||||"26819494"|"51890764"
"Soybeans"|"Bu"||65|||||||"26819494"|"51890765"
"Tobacco"|"Lbs"||2300|||||||"26819494"|"51890766"
"Wheat"|"Bu"||75|||||||"26819494"|"51890767"
"Alfalfa hay"|"Tons"||3.5|||||||"26819694"|"51892114"
"Barley"|"Bu"||60|||||||"26819694"|"51892115"
"Corn"|"Bu"||120|||||||"26819694"|"51892116"
"Corn silage"|"Tons"||25|||||||"26819694"|"51892117"
"Grass-legume hay"|"Tons"||3|||||||"26819694"|"51892118"
"Pasture"|"AUM"||7|||||||"26819694"|"51892119"
"Soybeans"|"Bu"||50|||||||"26819694"|"51892120"
"Tobacco"|"Lbs"||2100|||||||"26819694"|"51892121"
"Wheat"|"Bu"||55|||||||"26819694"|"51892122"
"Alfalfa hay"|"Tons"||4.5|||||||"26819695"|"51892123"
"Barley"|"Bu"||75|||||||"26819695"|"51892124"
"Corn"|"Bu"||150|||||||"26819695"|"51892125"
"Corn silage"|"Tons"||30|||||||"26819695"|"51892126"
"Grass-legume hay"|"Tons"||3.5|||||||"26819695"|"51892127"
"Pasture"|"AUM"||8.5|||||||"26819695"|"51892128"
"Soybeans"|"Bu"||60|||||||"26819695"|"51892129"
"Tobacco"|"Lbs"||2300|||||||"26819695"|"51892130"
"Wheat"|"Bu"||70|||||||"26819695"|"51892131"
"Alfalfa hay"|"Tons"||4|||||||"26819696"|"51892132"
"Barley"|"Bu"||70|||||||"26819696"|"51892133"
"Corn"|"Bu"||135|||||||"26819696"|"51892134"
"Corn silage"|"Tons"||25|||||||"26819696"|"51892135"
"Grass-legume hay"|"Tons"||3|||||||"26819696"|"51892136"
