"Cambic horizon"||13|||38|||25||"26819863"|"17383451"
"Lithic contact"||38|||63|||25||"26819863"|"17383452"
"Ochric epipedon"||0|||13|||13||"26819863"|"17383453"
"Ochric epipedon"||0|||28|||28||"26819864"|"17383454"
"Argillic horizon"||28|||76|||48||"26819864"|"17383455"
"Reduced matrix"||48|||76|||28||"26819864"|"17383456"
"Fragipan"||48|||112|||64||"26819864"|"17383457"
"Lithic contact"||112|||137|||25||"26819864"|"17383458"
"Lithic contact"||71|||96|||25||"26819865"|"17383463"
"Paralithic contact"||56|||71|||15||"26819865"|"17383462"
"Paralithic materials"||56|||71|||15||"26819865"|"17383461"
"Argillic horizon"||25|||56|||31||"26819865"|"17383460"
"Ochric epipedon"||0|||25|||25||"26819865"|"17383459"
"Fragipan"|50|51|52|98|99|100|47|48|49|"26819866"|"17383464"
"Argillic horizon"|23|25|27|50|51|52|24|26|28|"26819866"|"17383465"
"Aquic conditions"|98|99|100|121|122|123|21|23|25|"26819866"|"17383466"
"Ochric epipedon"|0|0|0|24|25|26|24|25|26|"26819866"|"17383467"
"Lithic contact"|102|122|152|127|147|203|25|25|101|"26819866"|"17383468"
"Argillic horizon"||20|||76|||56||"26819830"|"17383365"
"Ochric epipedon"||0|||20|||20||"26819830"|"17383364"
"Fragipan"||76|||102|||26||"26819830"|"17383363"
"Ochric epipedon"|0|0|0|20|23|25|20|23|25|"26819831"|"17383368"
"Argillic horizon"|20|23|23|75|81|90|55|58|61|"26819831"|"17383367"
"Aquic conditions"|0|23|25|190|201|202|166|178|190|"26819831"|"17383366"
"Argillic horizon"||33|||71|||38||"26819832"|"17383370"
"Ochric epipedon"||0|||33|||33||"26819832"|"17383369"
"Argillic horizon"|37|43|51|120|142|180|83|99|143|"26819833"|"17383371"
"Ochric epipedon"|0|0|0|35|43|51|35|43|51|"26819833"|"17383372"
"Argillic horizon"|37|43|51|120|142|180|83|99|143|"26819823"|"17383346"
"Ochric epipedon"|0|0|0|15|25|35|15|25|35|"26819823"|"17383345"
"Ochric epipedon"||0|||20|||20||"26819824"|"17383347"
"Cambic horizon"||20|||51|||31||"26819824"|"17383348"
"Lithic contact"||81|||106|||25||"26819824"|"17383349"
"Ochric epipedon"||0|||20|||20||"26819825"|"17383352"
"Argillic horizon"||20|||76|||56||"26819825"|"17383351"
"Fragipan"||76|||102|||26||"26819825"|"17383350"
"Argillic horizon"||33|||71|||38||"26819826"|"17383354"
"Ochric epipedon"||0|||33|||33||"26819826"|"17383353"
"Lithic contact"||81|||106|||25||"26819827"|"17383357"
"Cambic horizon"||20|||51|||31||"26819827"|"17383356"
