"p"|"80054268"|"35135569"
"w"|"80054269"|"35135570"
"p"|"80054222"|"35135536"
"t"|"80054223"|"35135537"
"g"|"80054223"|"35135538"
"t"|"80054224"|"35135539"
"x"|"80054224"|"35135540"
"g"|"80054224"|"35135541"
"x"|"80054225"|"35135542"
"p"|"80054217"|"35135531"
"t"|"80054218"|"35135532"
"t"|"80054219"|"35135533"
"t"|"80054220"|"35135534"
"r"|"80054221"|"35135535"
"t"|"80054213"|"35135528"
"x"|"80054214"|"35135529"
"g"|"80054215"|"35135530"
"p"|"80054212"|"35135527"
"r"|"80052776"|"35135345"
"r"|"80052780"|"35135346"
"x"|"80054042"|"35135396"
"t"|"80054042"|"35135397"
"p"|"80054043"|"35135398"
"t"|"80054044"|"35135399"
"t"|"80054067"|"35135414"
"g"|"80054067"|"35135415"
"g"|"80054068"|"35135416"
"p"|"80054045"|"35135400"
"t"|"80054046"|"35135401"
"p"|"80054034"|"35135391"
"t"|"80054036"|"35135392"
"t"|"80054037"|"35135393"
"t"|"80054038"|"35135394"
"t"|"80054039"|"35135395"
"p"|"80054014"|"35135377"
"t"|"80054016"|"35135378"
"t"|"80054017"|"35135379"
"t"|"80054018"|"35135380"
"t"|"80054019"|"35135381"
"p"|"80054021"|"35135382"
"w"|"80054022"|"35135383"
"w"|"80054025"|"35135384"
"x"|"80054026"|"35135385"
"t"|"80054026"|"35135386"
"p"|"80054028"|"35135387"
"t"|"80054029"|"35135388"
"p"|"80054031"|"35135389"
"t"|"80054032"|"35135390"
"p"|"80054056"|"35135407"
"w"|"80054057"|"35135408"
"w"|"80054058"|"35135409"
"p"|"80054061"|"35135410"
"t"|"80054062"|"35135411"
"t"|"80054064"|"35135413"
"x"|"80054064"|"35135412"
"p"|"80054049"|"35135402"
"t"|"80054051"|"35135403"
"t"|"80054052"|"35135404"
"t"|"80054053"|"35135405"
"t"|"80054054"|"35135406"
"p"|"80054306"|"35135600"
"t"|"80054308"|"35135601"
"t"|"80054309"|"35135602"
"p"|"80054314"|"35135606"
"t"|"80054315"|"35135607"
"t"|"80054316"|"35135608"
"t"|"80054317"|"35135609"
"t"|"80054318"|"35135610"
"p"|"80054310"|"35135603"
"t"|"80054312"|"35135604"
"x"|"80054313"|"35135605"
"p"|"80054320"|"35135611"
"t"|"80054323"|"35135612"
"t"|"80054324"|"35135613"
"p"|"80054325"|"35135614"
"t"|"80054326"|"35135615"
"t"|"80054327"|"35135616"
"t"|"80054328"|"35135617"
"t"|"80054329"|"35135618"
"p"|"80054333"|"35135619"
"t"|"80054334"|"35135620"
"x"|"80054336"|"35135621"
"x"|"80054337"|"35135622"
"p"|"80054339"|"35135623"
"w"|"80054340"|"35135624"
"x"|"80054096"|"35135441"
"p"|"80054097"|"35135442"
"t"|"80054099"|"35135443"
"t"|"80054082"|"35135426"
"x"|"80054082"|"35135427"
"g"|"80054082"|"35135428"
"p"|"80054083"|"35135429"
"t"|"80054085"|"35135430"
"g"|"80054085"|"35135431"
"t"|"80054086"|"35135432"
"t"|"80054087"|"35135433"
"x"|"80054087"|"35135434"
"p"|"80054089"|"35135435"
"p"|"80054170"|"35135498"
"t"|"80054171"|"35135499"
"t"|"80054090"|"35135436"
"t"|"80054091"|"35135437"
"t"|"80054092"|"35135438"
"t"|"80054093"|"35135439"
"p"|"80054095"|"35135440"
"t"|"80054177"|"35135506"
"t"|"80054178"|"35135507"
"x"|"80054178"|"35135508"
"p"|"80054180"|"35135509"
"p"|"80054187"|"35135515"
"t"|"80054188"|"35135516"
"t"|"80054173"|"35135500"
"x"|"80054173"|"35135501"
"g"|"80054173"|"35135502"
"t"|"80054175"|"35135503"
"g"|"80054175"|"35135504"
"p"|"80054176"|"35135505"
"t"|"80054181"|"35135510"
"p"|"80054182"|"35135511"
"t"|"80054183"|"35135512"
"t"|"80054184"|"35135513"
"t"|"80054185"|"35135514"
