"R"||"R"|||25|38|51|50|63|203|25|25|178||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.4|7.7|14|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"26819863"|"80054267"
"Ap"||"A"|||0|0|0|10|13|15|10|13|15|0|0|0|6|11|20|82|83|85|80|82|84|69|77|84|58|66|76|20|24|50|1.3|2|5|2|2.8|6.8|1.9|4|8.9|6.3|7.5|15.3|6.3|7.7|14|40|60.6|73|12|13.6|15|45|47|49|7|15.4|25|0|0|0|1|2|3||||1.47|1.48|1.5||||1.52|1.53|1.59|2.63|14|28|42|0.06|0.08|0.1||||16|22.7|28|4.2|9.9|16.4|31|34|36|0.3|0.9|2|20|30|41|3|10|17|0|4|12|".24"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|3.8|8.4|13.6||||1.4|6.1|13|5.5|6.2|6.5||||||||||1|5.2|11.7|||||||||||||||||||||"26819863"|"80054268"
"Bw"||"B"|||10|13|15|25|38|51|15|25|41|0|0|0|8|21|25|59|63|80|56|60|79|48|54|75|37|42|59|20|35|50|1.3|3.3|4.9|2|4.6|6.7|1.9|6.2|8.9|6.3|10.9|15.4|8.5|10|14.1|28|45|65|10|11.2|13|31|33.8|36|15|20|25|0|0|0|0|0.1|0.2||||1.45|1.47|1.49||||1.51|1.53|1.61|2.67|14|28|42|0.04|0.06|0.08||||14|17|24.6|5|7.4|12.4|24|26|36|0.5|0.8|1.9|25|29|35|9|12|17|0|1|7|".17"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|7.6|10.4|13||||1.4|5.7|9.7|4.5|5.7|6||||||||||5|7.9|15.3|||||||||||||||||||||"26819863"|"80054269"
"Ap"||"A"|||0|0|0|25|28|31||28||0|0|1|0|7|7|85|86|100|84|85|100|69|83|100|63|77|98|5|11.7|19.5|0.1|0.7|1.3|0.5|1.2|1.9|0.9|1.5|3|0.9|3.6|6.7|1.4|4.7|7|50.5|63.3|76.2|||||||9.2|25|32|0|0|0|1|2|3||||1.41|1.44|1.48||||1.52|1.55|1.62|2.64|4|7.76|14.11|0.19|0.2|0.22||||19.3|27.2|34.2|5.8|14.9|22.2|36|38|44|0.6|2.1|3.5|22|39|47|5|17|22|0|12|24|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|5|13.5|17.3||||3.1|11.8|16.9|5.6|6.2|6.8||||||||||1.3|5.5|8.6|||||||||||||||||||||"26819864"|"80054222"
"Btg"||"B"|||25|28|31|38|48|64||20||0|1|2|0|7|16|84|90|92|75|84|86|67|83|86|63|78|86|3.1|9.6|20|0|0.5|10|0.1|0.8|3.4|0.1|1.3|1.7|0.6|3|3.7|1.7|4|5.4|50|61|74.8|||||||21.1|29.4|40|0|0|0|0.5|0.75|1||||1.35|1.4|1.46||||1.48|1.53|1.61|2.67|1.41|2.82|4.23|0.14|0.17|0.2||||20.9|27.1|32.1|9.4|15.1|21.7|32|39|43|1.6|2.6|4.1|32|40|50|14|20|28|6|14|25|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|11.2|15.6|21.3||||7.3|12.5|19.7|5.4|5.7|6||||||||||4.6|6.5|8.7|||||||||||||||||||||"26819864"|"80054223"
"Btxg"||"B"|||38|48|64|73|76|79||28||0|1|2|0|8|15|84|91|100|74|85|100|63|85|100|60|82|100|4|6|20|0|0|0|0|0|0|0.1|0.2|0.3|1.4|1.7|1.8|4|4.1|4.5|51|59|75|||||||20|35|40|0|0|0|0.02|0.25|0.5||||1.51|1.56|1.61||||1.6|1.65|1.71|2.68|0.5|0.71|1.41|0.05|0.06|0.17||||20.4|29.1|35.9|9.1|18.9|25.6|28|34|41|0.7|1.6|2.7|29|43|48|13|24|28|4|19|30|".28"|".43"|0|0|0|0|0|0|0|0|0|0|0|0||||6.4|13.3|20.7|5.2|12|18.8|5.2|5.5|6||||||||||1.7|7.2|9.8|||||||||||||||||||||"26819864"|"80054224"
"Cx"||"C"|||73|76|79|102|112|152||36||0|1|2|1|11|22|74|84|85|60|75|77|54|75|77|51|72|77|5|7|20|0|0|0|0|0|0|0.1|0.2|0.3|1.8|2|2.2|4.5|4.8|5|55|68|75|||||||15|25|30|0|0|0|0.02|0.25|0.5||||1.57|1.58|1.58||||1.63|1.64|1.67|2.67|1.41|7.7|14|0.08|0.1|0.12||||14.8|23.4|27.6|5.6|12.4|16.6|23|30|33|0.4|0.9|1.5|25|34|39|9|17|21|1|10|15|".28"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||4.6|9|14.9|4.6|9|12.3|5.2|5.4|6||||||||||0.8|5.7|7.9|||||||||||||||||||||"26819864"|"80054225"
"R"||"R"|||102|112|152|127|137|203||25||||||||||||||||||||||||0||||||||||||||||||||||||||0|0|0|||||||||||||||||1.41|5|10||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"26819864"|"80054226"
"R"||"R"|||51|71|102|76|96|203|25|25|152||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"26819865"|"80054216"
"Ap"||"A"|||0|0|0|1|25|30|13|25|30|0|0|0|1|3|8|83|94|98|83|94|97|75|90|97|63|76|87|13.5|23.3|43|0.1|0.6|3.5|0.1|2.2|6.5|0.3|5|15.5|1.9|7.6|20|4|7.9|16.5|38.7|59.9|74||28|||31.9||12.1|16.8|25|0|0|0|1.51|4.46|11.74||||1.24|1.33|1.42||||1.31|1.4|1.48|2.56|4|9|14|0.18|0.2|0.22||||20.9|28|36|7.2|13.8|26.8|37|44|48|1.1|1.7|3.4|26|37|60|7|10|16|2|7|19|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10.7|15|22.3||||4.3|13.4|23.8|5.5|6.4|7.7|5|5.3|5.5|||||||0.2|6.8|15.6|||||||||||||||||||||"26819865"|"80054217"
"Bt1"||"B"||1|1|25|30|30|38|42|10|13|30|0|0|0|2|4|7|84|91|94|83|90|94|75|86|94|62|72|85|16.5|24.9|41.4|0.1|0.8|3.5|0.1|2.5|6.5|0.3|5.2|15.5|1.9|8.1|20|4|8.3|16.5|31.7|51.9|65.5||22.1|||29.8||18|23.2|33.5|0|0|0|0.06|0.36|1.12||||1.36|1.46|1.56||||1.49|1.59|1.7|2.61|4|9|14|0.12|0.17|0.22||||22.6|26.7|32|9.1|12.9|20|33|39|43|1.5|2.6|4.7|28|34|45|12|16|24|4|9|21|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|13.5|18.2|26.5||||4.9|16.2|25.1|4.4|5.8|6.7|5.2|5.5|5.7|||||||2.7|6.5|12.8|||||||||||||||||||||"26819865"|"80054218"
