|"Bedrock"|"162493248"|"165260419"
"Loam"||"162493249"|"165260420"
"Silt loam"||"162493250"|"165260421"
"Loam"||"162493251"|"165260422"
"Silt loam"||"162493252"|"165260423"
"Silt loam"||"162493126"|"165260424"
"Silty clay loam"||"162493127"|"165260425"
"Silt loam"||"162493128"|"165260426"
"Silt loam"||"162493129"|"165260427"
"Silty clay loam"||"162493130"|"165260428"
"Silt loam"||"162493131"|"165260429"
"Silty clay loam"||"162493132"|"165260430"
"Silt loam"||"162493133"|"165260431"
"Silty clay loam"||"162493134"|"165260432"
"Silt loam"||"162493135"|"165260433"
"Silty clay loam"||"162493136"|"165260434"
|"Bedrock"|"162493137"|"165260435"
|"Bedrock"|"162493110"|"165260436"
"Silt loam"||"162493111"|"165260437"
"Loam"||"162493112"|"165260438"
"Silt loam"||"162493113"|"165260439"
"Loam"||"162493114"|"165260440"
"Silty clay loam"||"162493115"|"165260441"
"Clay loam"||"162493116"|"165260442"
"Silt loam"||"162493117"|"165260443"
"Loam"||"162493118"|"165260444"
"Silty clay loam"||"162493119"|"165260445"
"Clay loam"||"162493120"|"165260446"
"Silt loam"||"162493121"|"165260447"
"Loam"||"162493122"|"165260448"
"Silty clay loam"||"162493123"|"165260449"
"Clay loam"||"162493124"|"165260450"
|"Bedrock"|"162493125"|"165260451"
"Silt loam"||"162493104"|"165260455"
"Silty clay loam"||"162493105"|"165260456"
"Silt loam"||"162493106"|"165260457"
"Silty clay loam"||"162493107"|"165260458"
"Silt loam"||"162493108"|"165260459"
"Loam"||"162493109"|"165260460"
|"Bedrock"|"162493101"|"165260452"
"Silt loam"||"162493102"|"165260453"
"Loam"||"162493103"|"165260454"
|"Bedrock"|"162489613"|"165257141"
"Silt loam"||"162489614"|"165257140"
"Silt loam"||"162489615"|"165257139"
"Silty clay loam"||"162489616"|"165257138"
"Silt loam"||"162489617"|"165257137"
"Silt loam"||"162489618"|"165257136"
"Silty clay loam"||"162489619"|"165257135"
"Silt loam"||"162489620"|"165257134"
"Silt loam"||"162489621"|"165257133"
"Silty clay loam"||"162489622"|"165257132"
"Clay loam"||"162489623"|"165257131"
"Silt loam"||"162489624"|"165256988"
"Silt loam"||"162489625"|"165256989"
"Loam"||"162489626"|"165256990"
"Silty clay loam"||"162489627"|"165256991"
"Silt loam"||"162489628"|"165256992"
"Loam"||"162489629"|"165256993"
"Silty clay loam"||"162489630"|"165256994"
"Silt loam"||"162489631"|"165256995"
"Silt loam"||"162489632"|"165256996"
"Loam"||"162489633"|"165256997"
"Silty clay loam"||"162489634"|"165256998"
"Silt loam"||"162489635"|"165256999"
"Loam"||"162489636"|"165257000"
"Silty clay loam"||"162489637"|"165257001"
"Silt loam"||"162489638"|"165257130"
"Clay loam"||"162489639"|"165257129"
"Loam"||"162489640"|"165257128"
"Silt loam"||"162489641"|"165257127"
"Silty clay loam"||"162489642"|"165257126"
"Silt loam"||"162489643"|"165257125"
"Loam"||"162489644"|"165257124"
"Silt loam"||"162489645"|"165257123"
