|8||"ACRU"|"Acer rubrum"|"red maple"|"26819863"|"138873169"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819863"|"138873334"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819863"|"138873403"
|3||"LOTA"|"Lonicera tatarica"|"Tatarian honeysuckle"|"26819863"|"138873435"
|5||"PINI"|"Pinus nigra"|"Austrian pine"|"26819863"|"138873527"
|5||"PIRE"|"Pinus resinosa"|"red pine"|"26819863"|"138873624"
|6||"PIST"|"Pinus strobus"|"eastern white pine"|"26819863"|"138873643"
|6||"PITH2"|"Pinus thunbergii"|"Japanese black pine"|"26819863"|"138873694"
|6||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819863"|"138873703"
|11||"POBR7"|"Populus xbrayshawii [angustifolia x balsamifera]"|"idahybrid poplar"|"26819863"|"138873705"
|2||"SYVU"|"Syringa vulgaris"|"common lilac"|"26819863"|"138873776"
|2||"SYVU"|"Syringa vulgaris"|"common lilac"|"26819477"|"138873770"
|6||"PIST"|"Pinus strobus"|"eastern white pine"|"26819477"|"138873626"
|5||"PIRE"|"Pinus resinosa"|"red pine"|"26819477"|"138873616"
|5||"PINI"|"Pinus nigra"|"Austrian pine"|"26819477"|"138873516"
|5||"PIBA2"|"Pinus banksiana"|"jack pine"|"26819477"|"138873500"
|4||"MAFL80"|"Malus floribunda"|"flowering crabapple"|"26819477"|"138873436"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819477"|"138873323"
|3||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819477"|"138873234"
|2||"CAAR18"|"Caragana arborescens"|"Siberian peashrub"|"26819477"|"138873170"
|2||"SYVU"|"Syringa vulgaris"|"common lilac"|"26819481"|"138873771"
|6||"PIST"|"Pinus strobus"|"eastern white pine"|"26819481"|"138873627"
|5||"PIRE"|"Pinus resinosa"|"red pine"|"26819481"|"138873617"
|5||"PINI"|"Pinus nigra"|"Austrian pine"|"26819481"|"138873517"
|5||"PIBA2"|"Pinus banksiana"|"jack pine"|"26819481"|"138873501"
|4||"MAFL80"|"Malus floribunda"|"flowering crabapple"|"26819481"|"138873437"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819481"|"138873324"
|3||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819481"|"138873235"
|2||"CAAR18"|"Caragana arborescens"|"Siberian peashrub"|"26819481"|"138873171"
|4||"VIPR"|"Viburnum prunifolium"|"blackhaw"|"26819485"|"138873888"
|4||"RHTYL"|"Rhus typhina var. laciniata"|"cutleaf staghorn sumac"|"26819485"|"138873769"
|8||"QUCO2"|"Quercus coccinea"|"scarlet oak"|"26819485"|"138873706"
|8||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819485"|"138873695"
|8||"PIRE"|"Pinus resinosa"|"red pine"|"26819485"|"138873618"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"26819485"|"138873518"
|7||"PIBA2"|"Pinus banksiana"|"jack pine"|"26819485"|"138873502"
|3||"FORSY"|"Forsythia"|"forsythia"|"26819485"|"138873296"
|2||"COAM3"|"Corylus americana"|"American hazelnut"|"26819485"|"138873230"
|2||"CHJA2"|"Chaenomeles japonica"|"flowering quince"|"26819485"|"138873198"
|2||"SYVU"|"Syringa vulgaris"|"common lilac"|"26819486"|"138873772"
|6||"PIST"|"Pinus strobus"|"eastern white pine"|"26819486"|"138873628"
|5||"PIRE"|"Pinus resinosa"|"red pine"|"26819486"|"138873619"
|5||"PINI"|"Pinus nigra"|"Austrian pine"|"26819486"|"138873519"
|5||"PIBA2"|"Pinus banksiana"|"jack pine"|"26819486"|"138873503"
|4||"MAFL80"|"Malus floribunda"|"flowering crabapple"|"26819486"|"138873438"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819486"|"138873325"
