|"Side Slope"|||"43194860"|"17087844"
|"Base Slope"|||"43195262"|"17088430"
|"Nose Slope"|||"43195261"|"17088429"
|"Side Slope"|||"43195261"|"17088428"
|"Head Slope"|||"43195260"|"17088427"
|"Base Slope"|||"43195260"|"17088426"
|"Base Slope"|||"43194865"|"17087853"
|"Head Slope"|||"43194864"|"17087852"
|"Base Slope"|||"43194864"|"17087851"
|"Head Slope"|||"43194863"|"17087849"
|"Side Slope"|||"43194863"|"17087850"
|"Base Slope"|||"43194863"|"17087848"
|"Interfluve"|||"43194862"|"17087847"
|"Side Slope"|||"43194862"|"17087846"
|"Side Slope"|||"43194861"|"17087845"
|"Nose Slope"|||"43194882"|"17087872"
|"Side Slope"|||"43194882"|"17087871"
|"Interfluve"|||"43194881"|"17087869"
|"Side Slope"|||"43194881"|"17087870"
|"Interfluve"|||"43194880"|"17087868"
|"Base Slope"|||"43194879"|"17087867"
|"Head Slope"|||"43194878"|"17087866"
|"Side Slope"|||"43194878"|"17087865"
|"Side Slope"|||"43194877"|"17087864"
|"Side Slope"|||"43194876"|"17087863"
|"Side Slope"|||"43194875"|"17087862"
|"Side Slope"|||"43194874"|"17087861"
|"Base Slope"|||"43194872"|"17087860"
|"Side Slope"|||"43194871"|"17087859"
|"Side Slope"|||"43194870"|"17087858"
|"Base Slope"|||"43194869"|"17087857"
|"Side Slope"|||"43194868"|"17087856"
|"Nose Slope"|||"43194866"|"17087854"
|"Side Slope"|||"43194866"|"17087855"
|"Head Slope"|||"43194913"|"17087919"
|"Base Slope"|||"43194912"|"17087918"
|"Interfluve"|||"43194911"|"17087917"
|"Side Slope"|||"43194911"|"17087916"
|"Head Slope"|||"43194910"|"17087915"
|"Head Slope"|||"43194909"|"17087913"
|"Base Slope"|||"43194909"|"17087914"
|"Interfluve"|||"43195013"|"17088071"
|"Side Slope"|||"43195013"|"17088070"
|"Interfluve"|||"43195014"|"17088072"
|"Side Slope"|||"43195014"|"17088073"
|"Side Slope"|||"43195012"|"17088069"
|"Side Slope"|||"43195011"|"17088068"
|"Interfluve"|||"43195010"|"17088067"
|"Side Slope"|||"43195010"|"17088066"
|"Side Slope"|||"43195009"|"17088065"
|"Interfluve"|||"43195008"|"17088064"
|"Side Slope"|||"43195008"|"17088063"
|"Interfluve"|||"43195006"|"17088060"
|"Side Slope"|||"43195006"|"17088059"
|"Interfluve"|||"43195007"|"17088061"
|"Side Slope"|||"43195007"|"17088062"
|"Side Slope"|||"43195005"|"17088058"
|"Interfluve"|||"43195004"|"17088057"
|"Side Slope"|||"43195004"|"17088056"
|"Side Slope"|||"43195003"|"17088055"
|"Interfluve"|||"43195001"|"17088052"
|"Side Slope"|||"43195001"|"17088051"
|"Interfluve"|||"43195002"|"17088053"
|"Side Slope"|||"43195002"|"17088054"
|"Side Slope"|||"43195000"|"17088050"
|"Interfluve"|||"43194998"|"17088047"
|"Side Slope"|||"43194998"|"17088046"
|"Interfluve"|||"43194999"|"17088048"
|"Side Slope"|||"43194999"|"17088049"
|"Interfluve"|||"43194997"|"17088045"
|"Side Slope"|||"43194997"|"17088044"
|"Side Slope"|||"43194996"|"17088043"
|"Side Slope"|||"43194995"|"17088042"
|"Head Slope"|||"43194994"|"17088040"
|"Side Slope"|||"43194994"|"17088041"
|"Base Slope"|||"43194994"|"17088039"
|"Side Slope"|||"43194993"|"17088038"
|"Side Slope"|||"43194992"|"17088037"
|"Interfluve"|||"43194991"|"17088036"
|"Side Slope"|||"43194991"|"17088035"
|"Side Slope"|||"43194990"|"17088034"
|"Side Slope"|||"43194989"|"17088033"
|"Head Slope"|||"43194988"|"17088031"
|"Side Slope"|||"43194988"|"17088032"
|"Base Slope"|||"43194988"|"17088030"
|"Interfluve"|||"43194987"|"17088029"
|"Side Slope"|||"43194987"|"17088028"
|"Head Slope"|||"43194986"|"17088026"
|"Side Slope"|||"43194986"|"17088027"
|"Base Slope"|||"43194986"|"17088025"
|"Side Slope"|||"43194985"|"17088024"
|"Interfluve"|||"43194984"|"17088023"
|"Side Slope"|||"43194984"|"17088022"
|"Side Slope"|||"43194983"|"17088021"
|"Side Slope"|||"43194908"|"17087912"
|"Head Slope"|||"43194907"|"17087910"
|"Side Slope"|||"43194907"|"17087911"
|"Base Slope"|||"43194907"|"17087909"
|"Side Slope"|||"43194906"|"17087908"
|"Interfluve"|||"43194905"|"17087907"
|"Side Slope"|||"43194905"|"17087906"
|"Head Slope"|||"43194904"|"17087904"
|"Side Slope"|||"43194904"|"17087905"
|"Base Slope"|||"43194904"|"17087903"
|"Interfluve"|||"43194903"|"17087902"
|"Side Slope"|||"43194903"|"17087901"
|"Head Slope"|||"43195145"|"17088259"
|"Head Slope"|||"43195144"|"17088258"
|"Head Slope"|||"43195476"|"17088432"
|"Base Slope"|||"43195476"|"17088431"
|"Interfluve"|||"43195143"|"17088257"
|"Interfluve"|||"43195142"|"17088256"
|"Interfluve"|||"43195152"|"17088272"
|"Nose Slope"|||"43195151"|"17088269"
|"Side Slope"|||"43195151"|"17088271"
|"Crest"|||"43195151"|"17088270"
|"Head Slope"|||"43195150"|"17088267"
||||"43195150"|"17088268"
|"Interfluve"|||"43195149"|"17088266"
|"Nose Slope"|||"43195148"|"17088263"
|"Side Slope"|||"43195148"|"17088265"
|"Crest"|||"43195148"|"17088264"
|"Head Slope"|||"43195147"|"17088261"
||||"43195147"|"17088262"
|"Interfluve"|||"43195146"|"17088260"
|"Base Slope"|||"43194902"|"17087900"
|"Base Slope"|||"43194901"|"17087899"
|"Side Slope"|||"43194900"|"17087898"
