cokey,chkey,hzname,hzdept_r,hzdepb_r,om_l,om_r,om_h,cec7_l,cec7_r,cec7_h,ph1to1h2o_l,ph1to1h2o_r,ph1to1h2o_h,awc_r,ksat_r,dbthirdbar_r,mukey,compname,comppct_r,drainagecl,taxorder,taxgrtgroup,musym,muname,sand_pct,silt_pct,clay_pct
26819866,80054212,Ap,0,25,2.0,2.5,3.0,5.5,9.5,13.6,5.3,6.1,6.9,0.19,9.17,1.42,542715,Abbottstown,85,Somewhat poorly drained,Alfisols,Fragiaqualfs,AbB,"Abbottstown silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819460,80052681,A,0,10,2.0,5.0,6.0,7.0,10.8,14.5,4.5,5.5,6.5,0.19,9.17,1.25,542716,Abbottstown,90,Somewhat poorly drained,Alfisols,Fragiaqualfs,AsB,"Abbottstown extremely stony silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819467,80052708,Ap,0,25,2.0,3.0,4.0,7.5,13.2,18.8,4.1,5.4,6.6,0.22,2.82,1.3,542717,Baile,85,Poorly drained,Ultisols,Endoaquults,Ba,Baile silt loam,21.7,54.8,23.5
26819469,80052716,Ap,0,23,1.5,2.25,3.0,7.5,11.0,14.5,4.5,5.9,7.3,0.16,9.17,1.35,542718,Bedington,90,Well drained,Ultisols,Hapludults,BdA,"Bedington silt loam, 0 to 3 percent slopes",26.5,53.5,20.0
26819475,80052736,H1,0,25,1.0,2.0,3.0,8.1,10.8,13.6,4.5,5.9,7.3,0.16,9.17,1.35,542719,Bedington,75,Well drained,Ultisols,Hapludults,BdB,"Bedington silt loam, 3 to 8 percent slopes",26.5,53.5,20.0
26819479,80052751,H1,0,25,1.0,2.0,3.0,8.1,10.8,13.6,4.5,5.9,7.3,0.16,9.17,1.35,542720,Bedington,75,Well drained,Ultisols,Hapludults,BdC,"Bedington silt loam, 8 to 15 percent slopes",26.5,53.5,20.0
26819484,80052770,H1,0,23,1.0,2.0,3.0,15.0,20.0,25.0,4.5,5.9,7.3,0.14,9.17,1.35,542721,Bedington,85,Well drained,Ultisols,Hapludults,BeD,"Bedington channery silt loam, 15 to 25 percent slopes",26.5,53.5,20.0
26819490,80052793,Ap,0,25,2.0,3.0,4.0,5.5,11.2,16.8,4.2,5.4,6.6,0.16,9.17,1.5,542722,Blairton,90,Moderately well drained,Ultisols,Hapludults,Bm,"Blairton silt loam, 3 to 10 percent slopes",27.1,54.4,18.5
26819493,80052799,Ap,0,18,3.0,3.5,4.0,5.5,7.4,9.3,5.1,5.8,6.5,0.18,9.17,1.3,542723,Bowmansville,90,Somewhat poorly drained,Inceptisols,Endoaquepts,Bo,Bowmansville silt loam,30.5,56.0,13.5
26819694,80053513,Ap,0,20,1.0,2.0,3.0,5.5,8.3,11.0,4.5,6.0,6.0,0.13,9.17,1.25,542724,Brecknock,90,Well drained,Alfisols,Hapludalfs,BrB,"Brecknock gravelly silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
26819702,80053545,Ap,0,20,1.0,2.0,3.0,5.5,8.3,11.0,4.5,6.0,6.0,0.13,9.17,1.25,542725,Brecknock,90,Well drained,Alfisols,Hapludalfs,BrC,"Brecknock gravelly silt loam, 8 to 15 percent slopes",30.1,54.9,15.0
26819706,80053558,A,0,12,1.0,2.0,3.0,5.5,8.3,11.0,4.5,5.4,6.0,0.13,9.17,1.25,542726,Brecknock,90,Well drained,Alfisols,Hapludalfs,BsB,"Brecknock very stony silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
